List of Differential Expressed Genes,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RBP4,0,1.908151144,0.474,0.142,0,TRAM,RBP4
ADAMTSL4,0,0.907619575,0.673,0.343,0,TRAM,ADAMTSL4
NMB,0,1.775627395,0.488,0.159,0,TRAM,NMB
CPE,0,3.172685273,0.377,0.05,0,TRAM,CPE
RAC2,0,0.850553214,0.769,0.442,0,TRAM,RAC2
GCHFR,0,1.333443908,0.955,0.628,0,TRAM,GCHFR
S1PR4,0,1.251687352,0.537,0.211,0,TRAM,S1PR4
PLA2G7,0,-3.93072454,0.04,0.366,0,TRAM,PLA2G7
ABCG1,0,1.11388579,0.719,0.393,0,TRAM,ABCG1
TRPV2,0,1.044773852,0.652,0.334,0,TRAM,TRPV2
PLBD1,0,1.242574805,0.821,0.503,0,TRAM,PLBD1
RGS2,0,-3.388301952,0.208,0.525,0,TRAM,RGS2
CD48,0,-3.22247992,0.082,0.399,0,TRAM,CD48
STAC,0,1.576796616,0.458,0.142,0,TRAM,STAC
RP3-460G2.2,0,1.40788605,0.485,0.169,0,TRAM,RP3-460G2.2
APIP,0,1.10432943,0.645,0.33,0,TRAM,APIP
NINJ1,0,-2.428783123,0.264,0.579,0,TRAM,NINJ1
LYAR,0,1.206500778,0.63,0.316,0,TRAM,LYAR
LGALS3BP,0,1.069638887,0.81,0.497,0,TRAM,LGALS3BP
ZBTB8OS,0,0.906660786,0.67,0.358,0,TRAM,ZBTB8OS
CDC42EP3,0,1.061387116,0.516,0.205,0,TRAM,CDC42EP3
GLIPR2,0,1.087472901,0.917,0.606,0,TRAM,GLIPR2
C20orf27,0,0.997314554,0.787,0.477,0,TRAM,C20orf27
SMIM14,0,0.854771348,0.666,0.357,0,TRAM,SMIM14
RNASE6,0,-2.070974408,0.304,0.612,0,TRAM,RNASE6
SCGB1A1,0,0.852557979,0.606,0.298,0,TRAM,SCGB1A1
ENPP4,0,1.465716381,0.466,0.159,0,TRAM,ENPP4
FBP1,0,1.44938737,0.966,0.659,0,TRAM,FBP1
CCL3L3,0,-3.969552566,0.316,0.621,0,TRAM,CCL3L3
KAT8,0,1.236621627,0.515,0.212,0,TRAM,KAT8
SLC27A3,0,1.199329382,0.509,0.206,0,TRAM,SLC27A3
PLTP,0,-3.766738789,0.109,0.412,0,TRAM,PLTP
STXBP2,0,1.711486238,0.886,0.584,0,TRAM,STXBP2
POR,0,1.018636127,0.598,0.296,0,TRAM,POR
CEBPD,0,-2.987144827,0.209,0.51,0,TRAM,CEBPD
ALOX5,0,1.122727456,0.894,0.594,0,TRAM,ALOX5
CARD16,0,1.111641393,0.866,0.566,0,TRAM,CARD16
RNASE1,0,-3.797612455,0.152,0.452,0,TRAM,RNASE1
RAB11FIP1,0,0.741550158,0.685,0.386,0,TRAM,RAB11FIP1
SLC11A1,0,0.577251205,0.867,0.568,0,TRAM,SLC11A1
AVPI1,0,0.716659399,0.668,0.371,0,TRAM,AVPI1
FN1,0,0.787902146,0.904,0.607,0,TRAM,FN1
TFRC,0,0.767681301,0.777,0.48,0,TRAM,TFRC
JAML,0,0.783526152,0.718,0.421,0,TRAM,JAML
SFTPC,0,0.756213064,0.861,0.565,0,TRAM,SFTPC
CYB5A,0,0.713693533,0.774,0.479,0,TRAM,CYB5A
ETHE1,0,0.938508814,0.744,0.449,0,TRAM,ETHE1
OSCAR,0,0.875482963,0.703,0.408,0,TRAM,OSCAR
LSM6,0,0.752047062,0.769,0.478,0,TRAM,LSM6
TSPAN3,0,1.065234398,0.547,0.257,0,TRAM,TSPAN3
CD52,0,2.026508964,0.973,0.683,0,TRAM,CD52
LINC01272,0,0.810514266,0.88,0.591,0,TRAM,LINC01272
STX12,0,0.803117083,0.682,0.393,0,TRAM,STX12
UBASH3B,0,1.418532306,0.446,0.157,0,TRAM,UBASH3B
ALAS1,0,1.166911376,0.521,0.237,0,TRAM,ALAS1
PECAM1,0,0.689939442,0.782,0.498,0,TRAM,PECAM1
LGMN,0,-3.196552814,0.303,0.587,0,TRAM,LGMN
ECSCR,0,2.495452296,0.336,0.054,0,TRAM,ECSCR
ICAM1,0,-2.573744872,0.208,0.49,0,TRAM,ICAM1
GS1-600G8.5,0,2.878062501,0.336,0.055,0,TRAM,GS1-600G8.5
ABCA1,0,-2.868933857,0.142,0.419,0,TRAM,ABCA1
RNF149,0,0.780086976,0.825,0.548,0,TRAM,RNF149
MIR3945HG,0,1.343773645,0.458,0.184,0,TRAM,MIR3945HG
CORO2A,0,1.782373987,0.376,0.103,0,TRAM,CORO2A
GPA33,0,2.179019221,0.335,0.063,0,TRAM,GPA33
STAB1,0,-7.190350796,0.006,0.278,0,TRAM,STAB1
SEPP1,0,-5.775561948,0.059,0.329,0,TRAM,SEPP1
SPP1,0,-5.014679981,0.034,0.304,0,TRAM,SPP1
HIF1A,0,-2.512287926,0.246,0.514,0,TRAM,HIF1A
MYO6,0,2.545723842,0.318,0.051,0,TRAM,MYO6
SOCS3,0,-2.468441499,0.24,0.507,0,TRAM,SOCS3
CD14,0,-2.576473531,0.512,0.778,0,TRAM,CD14
LILRB4,0,-2.309683706,0.302,0.567,0,TRAM,LILRB4
CXCR4,0,-2.538892622,0.235,0.499,0,TRAM,CXCR4
ACVRL1,0,1.208317763,0.407,0.144,0,TRAM,ACVRL1
CCL3,0,-2.766767724,0.535,0.798,0,TRAM,CCL3
LIMA1,0,1.460469917,0.402,0.139,0,TRAM,LIMA1
TMEM53,0,1.164425367,0.443,0.18,0,TRAM,TMEM53
F13A1,0,-6.310551223,0.008,0.27,0,TRAM,F13A1
CA2,0,2.131551328,0.397,0.136,0,TRAM,CA2
DOK2,0,0.825763191,0.87,0.609,0,TRAM,DOK2
NUPR1,0,0.488433957,0.856,0.595,0,TRAM,NUPR1
DEFB1,0,1.696229381,0.346,0.085,0,TRAM,DEFB1
FPR3,0,-1.966401907,0.309,0.57,0,TRAM,FPR3
FOLR2,0,-4.136744905,0.115,0.375,0,TRAM,FOLR2
NR4A2,0,-2.688825795,0.352,0.612,0,TRAM,NR4A2
RP11-1008C21.1,0,1.191831876,0.438,0.178,0,TRAM,RP11-1008C21.1
SPOCD1,0,2.327020436,0.324,0.064,0,TRAM,SPOCD1
DNASE2B,0,2.813381201,0.317,0.058,0,TRAM,DNASE2B
LDHB,0,1.043188947,0.852,0.595,0,TRAM,LDHB
MTPN,0,0.756823714,0.851,0.594,0,TRAM,MTPN
SLC40A1,0,-5.444260498,0.014,0.27,0,TRAM,SLC40A1
CD151,0,0.732340568,0.832,0.578,0,TRAM,CD151
CD84,0,-2.392909289,0.227,0.481,0,TRAM,CD84
LIMD2,0,-3.05183551,0.054,0.308,0,TRAM,LIMD2
COX17,0,0.620168523,0.841,0.594,0,TRAM,COX17
EVI2B,0,0.73438394,0.864,0.617,0,TRAM,EVI2B
SDS,0,-5.156435676,0.009,0.256,0,TRAM,SDS
MEF2C,0,-3.24160824,0.073,0.318,0,TRAM,MEF2C
DUSP2,0,-2.544285961,0.228,0.473,0,TRAM,DUSP2
PMP22,0,-2.02565013,0.291,0.535,0,TRAM,PMP22
SIRPB1,0,1.356319521,0.378,0.134,0,TRAM,SIRPB1
IL4I1,0,-4.398637861,0.036,0.277,0,TRAM,IL4I1
ALDH2,0,1.400236446,0.957,0.717,0,TRAM,ALDH2
CLEC10A,0,-5.417674565,0.011,0.251,0,TRAM,CLEC10A
FAM26F,0,-2.353988839,0.245,0.485,0,TRAM,FAM26F
PLEKHO1,0,-2.49255836,0.135,0.375,0,TRAM,PLEKHO1
VASP,0,0.689797801,0.884,0.647,0,TRAM,VASP
LSAMP,0,3.111022894,0.264,0.032,0,TRAM,LSAMP
G0S2,0,-3.507595781,0.139,0.37,0,TRAM,G0S2
GALNT12,0,2.398574104,0.285,0.054,0,TRAM,GALNT12
LY6E,0,0.768005277,0.952,0.721,0,TRAM,LY6E
TTYH3,0,-2.759409837,0.118,0.348,0,TRAM,TTYH3
TXNIP,0,0.783624133,0.914,0.685,0,TRAM,TXNIP
CSTA,0,0.84233022,0.915,0.687,0,TRAM,CSTA
GAS6,0,-4.810409574,0.02,0.247,0,TRAM,GAS6
MSR1,0,1.071678918,0.932,0.707,0,TRAM,MSR1
CSF1R,0,-2.041743801,0.322,0.546,0,TRAM,CSF1R
ATP10A,0,2.569747066,0.265,0.042,0,TRAM,ATP10A
RGCC,0,0.631091911,0.943,0.721,0,TRAM,RGCC
SGK1,0,-2.297331959,0.482,0.704,0,TRAM,SGK1
RP11-284N8.3,0,2.010827559,0.277,0.057,0,TRAM,RP11-284N8.3
CXCL5,0,2.169600432,0.29,0.071,0,TRAM,CXCL5
DTX4,0,2.646468132,0.26,0.042,0,TRAM,DTX4
ZNF331,0,-2.643748502,0.217,0.435,0,TRAM,ZNF331
SNX10,0,0.736341449,0.925,0.709,0,TRAM,SNX10
TKT,0,0.703414746,0.9,0.684,0,TRAM,TKT
TTC39B,0,1.854503681,0.287,0.072,0,TRAM,TTC39B
PDE4B,0,-2.825541082,0.117,0.331,0,TRAM,PDE4B
CENPV,0,2.338516485,0.265,0.052,0,TRAM,CENPV
TNFRSF1B,0,-2.403303388,0.159,0.372,0,TRAM,TNFRSF1B
SCP2,0,0.626576642,0.863,0.651,0,TRAM,SCP2
ALOX5AP,0,0.881857995,0.968,0.758,0,TRAM,ALOX5AP
MS4A6A,0,-2.118966896,0.666,0.876,0,TRAM,MS4A6A
CCL13,0,-4.944756354,0.018,0.227,0,TRAM,CCL13
CD300A,0,-2.553809666,0.124,0.332,0,TRAM,CD300A
PTMS,0,0.58317076,0.885,0.679,0,TRAM,PTMS
CAMP,0,2.710750879,0.263,0.058,0,TRAM,CAMP
TCEA3,0,2.133393389,0.256,0.051,0,TRAM,TCEA3
SLC19A3,0,3.23127393,0.23,0.027,0,TRAM,SLC19A3
AP1S2,0,-1.718872661,0.47,0.671,0,TRAM,AP1S2
CCL4,0,-2.645713203,0.477,0.676,0,TRAM,CCL4
PAQR5,0,2.449847659,0.239,0.041,0,TRAM,PAQR5
CCL4L2,0,-3.137816817,0.405,0.603,0,TRAM,CCL4L2
PRDM1,0,-4.529477438,0.021,0.213,0,TRAM,PRDM1
GLRX,0,1.302502368,0.964,0.772,0,TRAM,GLRX
ANXA6,0,-2.92853582,0.034,0.225,0,TRAM,ANXA6
TMEM74B,0,3.300766876,0.214,0.023,0,TRAM,TMEM74B
FABP5,0,0.513592183,0.964,0.773,0,TRAM,FABP5
CAMK1,0,-2.785611554,0.061,0.25,0,TRAM,CAMK1
BSG,0,0.701449898,0.852,0.664,0,TRAM,BSG
FYB,0,-1.720456472,0.507,0.695,0,TRAM,FYB
EMB,0,-4.257740347,0.018,0.204,0,TRAM,EMB
FOSB,0,-1.922686497,0.601,0.784,0,TRAM,FOSB
C9orf16,0,0.792392111,0.92,0.739,0,TRAM,C9orf16
CD9,0,1.064438545,0.933,0.753,0,TRAM,CD9
PEBP1,0,0.674894102,0.924,0.744,0,TRAM,PEBP1
SERPINB9,0,-3.746169038,0.035,0.214,0,TRAM,SERPINB9
CXCL16,0,0.823608907,0.935,0.757,0,TRAM,CXCL16
PLXNC1,0,-4.940696489,0.008,0.185,0,TRAM,PLXNC1
CMKLR1,0,-4.039440957,0.016,0.192,0,TRAM,CMKLR1
SMPDL3A,0,-2.967653989,0.05,0.225,0,TRAM,SMPDL3A
CTB-178M22.2,0,3.26468026,0.194,0.022,0,TRAM,CTB-178M22.2
ST8SIA4,0,-3.873632183,0.026,0.198,0,TRAM,ST8SIA4
GADD45B,0,-1.671769226,0.51,0.681,0,TRAM,GADD45B
MGST3,0,0.996180133,0.931,0.761,0,TRAM,MGST3
MGAT3,0,3.659036591,0.188,0.018,0,TRAM,MGAT3
VEGFA,0,-3.714473391,0.051,0.221,0,TRAM,VEGFA
TMEM37,0,-3.402092483,0.025,0.193,0,TRAM,TMEM37
COMT,0,0.667129271,0.897,0.73,0,TRAM,COMT
CYBRD1,0,-3.472843575,0.024,0.191,0,TRAM,CYBRD1
ADAM8,0,-4.440633733,0.015,0.182,0,TRAM,ADAM8
CXCL2,0,-1.607885729,0.551,0.718,0,TRAM,CXCL2
ENPP2,0,-4.628644968,0.017,0.183,0,TRAM,ENPP2
ACP5,0,0.795011105,0.966,0.8,0,TRAM,ACP5
FAM198B,0,-3.94054788,0.015,0.179,0,TRAM,FAM198B
SMIM3,0,-3.288187802,0.031,0.194,0,TRAM,SMIM3
SERPINA1,0,1.356837613,0.962,0.799,0,TRAM,SERPINA1
LAMTOR1,0,0.697405178,0.924,0.763,0,TRAM,LAMTOR1
TNFAIP3,0,-1.724004448,0.477,0.637,0,TRAM,TNFAIP3
GAL3ST4,0,-5.227443029,0.009,0.167,0,TRAM,GAL3ST4
CD37,0,0.699570341,0.92,0.765,0,TRAM,CD37
PRKCB,0,-3.520285366,0.023,0.178,0,TRAM,PRKCB
CD93,0,-4.156739664,0.028,0.182,0,TRAM,CD93
IL10,0,-5.536707007,0.007,0.156,0,TRAM,IL10
MERTK,0,-5.875912269,0.004,0.15,0,TRAM,MERTK
RASSF2,0,-4.170869172,0.011,0.156,0,TRAM,RASSF2
MAFB,0,-1.313236479,0.561,0.705,0,TRAM,MAFB
PRR13,0,0.600834267,0.929,0.789,0,TRAM,PRR13
FAM20A,0,-4.268960723,0.013,0.151,0,TRAM,FAM20A
HAMP,0,-4.325383622,0.006,0.14,0,TRAM,HAMP
FKBP1A,0,0.530953957,0.949,0.818,0,TRAM,FKBP1A
RGL1,0,-4.745818504,0.008,0.139,0,TRAM,RGL1
SOD2,0,-1.731656309,0.738,0.868,0,TRAM,SOD2
SH3BGRL,0,0.526371113,0.937,0.81,0,TRAM,SH3BGRL
ZFP36,0,-1.837039717,0.694,0.82,0,TRAM,ZFP36
PYCARD,0,0.547955796,0.945,0.822,0,TRAM,PYCARD
CXCL8,0,-1.640507952,0.694,0.816,0,TRAM,CXCL8
NDUFS5,0,0.52232074,0.944,0.822,0,TRAM,NDUFS5
NOP10,0,0.919372261,0.966,0.845,0,TRAM,NOP10
GMFG,0,0.531790948,0.931,0.814,0,TRAM,GMFG
GSTO1,0,0.526612018,0.956,0.841,0,TRAM,GSTO1
C1orf162,0,0.63844267,0.965,0.853,0,TRAM,C1orf162
NFKBIA,0,-2.059405832,0.784,0.896,0,TRAM,NFKBIA
SPI1,0,0.710026284,0.959,0.848,0,TRAM,SPI1
TAGLN2,0,0.632162651,0.956,0.855,0,TRAM,TAGLN2
TXN,0,0.646443815,0.974,0.873,0,TRAM,TXN
LGALS3,0,0.883253477,0.986,0.903,0,TRAM,LGALS3
LST1,0,0.521542913,0.961,0.884,0,TRAM,LST1
C1QB,0,0.4894187,0.981,0.905,0,TRAM,C1QB
RTN4,0,0.521298756,0.946,0.871,0,TRAM,RTN4
TSPO,0,0.987567819,0.985,0.911,0,TRAM,TSPO
JUNB,0,-1.351258069,0.829,0.901,0,TRAM,JUNB
TCEB2,0,0.650095434,0.974,0.904,0,TRAM,TCEB2
PNRC1,0,-1.102749292,0.766,0.834,0,TRAM,PNRC1
MYL12A,0,0.645596156,0.962,0.895,0,TRAM,MYL12A
CSTB,0,0.316657326,0.995,0.945,0,TRAM,CSTB
S100A4,0,0.852282283,0.991,0.943,0,TRAM,S100A4
ANXA2,0,0.441362067,0.985,0.937,0,TRAM,ANXA2
ITGB2,0,-1.08831089,0.782,0.829,0,TRAM,ITGB2
UBB,0,0.941572271,0.987,0.941,0,TRAM,UBB
C1QA,0,0.46642388,0.987,0.943,0,TRAM,C1QA
BTG1,0,-1.347580365,0.856,0.897,0,TRAM,BTG1
S100A10,0,0.44931883,0.993,0.956,0,TRAM,S100A10
SRGN,0,-1.098827222,0.949,0.981,0,TRAM,SRGN
KLF6,0,-1.049128499,0.893,0.923,0,TRAM,KLF6
FOS,0,-1.442631601,0.849,0.874,0,TRAM,FOS
GRN,0,0.505370943,0.968,0.944,0,TRAM,GRN
RGS10,0,-0.947004555,0.776,0.798,0,TRAM,RGS10
S100A6,0,0.73251016,0.997,0.975,0,TRAM,S100A6
NEAT1,0,-0.79887783,0.943,0.963,0,TRAM,NEAT1
MT-ND2,0,0.580018756,0.965,0.984,0,TRAM,MT-ND2
MT-CO1,0,0.371641862,0.972,0.988,0,TRAM,MT-CO1
S100A11,0,0.49954879,0.999,0.985,0,TRAM,S100A11
MALAT1,0,-0.867940152,0.979,0.991,0,TRAM,MALAT1
LGALS1,0,-0.667381077,0.987,0.976,0,TRAM,LGALS1
MYL6,0,0.542563183,0.996,0.985,0,TRAM,MYL6
NPC2,0,-1.076423865,0.979,0.99,0,TRAM,NPC2
GAPDH,0,-0.740047598,0.985,0.978,0,TRAM,GAPDH
HLA-E,0,-0.590087935,0.929,0.935,0,TRAM,HLA-E
OAZ1,0,0.441585319,0.997,0.992,0,TRAM,OAZ1
SAT1,0,-0.999410779,0.981,0.986,0,TRAM,SAT1
CTSB,0,-1.331885405,0.965,0.968,0,TRAM,CTSB
RPS20,0,0.376348529,0.998,0.995,0,TRAM,RPS20
GPX1,0,-0.430735281,0.993,0.991,0,TRAM,GPX1
EEF1A1,0,0.325990197,1,0.999,0,TRAM,EEF1A1
TYMP,0,-0.955673366,0.922,0.923,0,TRAM,TYMP
FTH1,0,0.709543192,1,1,0,TRAM,FTH1
TMSB4X,0,0.485407652,1,1,0,TRAM,TMSB4X
CD5L,4.23E-307,2.969913323,0.192,0.024,1.10E-302,TRAM,CD5L
VAMP8,8.48E-307,0.357611612,0.982,0.944,2.20E-302,TRAM,VAMP8
SORT1,1.46E-305,0.932998528,0.545,0.266,3.78E-301,TRAM,SORT1
CLEC5A,1.92E-305,-2.914187307,0.056,0.228,4.99E-301,TRAM,CLEC5A
YBX1,3.00E-305,0.347457854,0.995,0.975,7.78E-301,TRAM,YBX1
SNX2,9.82E-304,0.697709214,0.823,0.609,2.55E-299,TRAM,SNX2
ITGB8,8.91E-303,2.140537597,0.235,0.047,2.31E-298,TRAM,ITGB8
SGMS2,1.66E-301,0.994868472,0.438,0.175,4.30E-297,TRAM,SGMS2
OLFML2B,2.55E-301,-5.936215104,0.002,0.12,6.61E-297,TRAM,OLFML2B
TMEM173,8.48E-301,0.769544829,0.611,0.32,2.20E-296,TRAM,TMEM173
C1orf54,7.96E-300,-2.05639247,0.188,0.384,2.07E-295,TRAM,C1orf54
ANXA5,2.33E-297,0.450251301,0.963,0.897,6.04E-293,TRAM,ANXA5
NEIL2,2.43E-297,1.835656697,0.258,0.062,6.29E-293,TRAM,NEIL2
ADAM28,2.60E-296,-4.853931169,0.007,0.132,6.74E-292,TRAM,ADAM28
ADAM17,3.26E-295,0.680353217,0.72,0.434,8.45E-291,TRAM,ADAM17
SNCA,9.29E-294,-2.805564673,0.04,0.199,2.41E-289,TRAM,SNCA
PDLIM2,4.19E-293,0.947892101,0.485,0.217,1.09E-288,TRAM,PDLIM2
CAT,8.94E-293,0.763019583,0.684,0.414,2.32E-288,TRAM,CAT
PRCP,1.90E-291,-1.938486563,0.196,0.389,4.92E-287,TRAM,PRCP
ACER3,5.21E-289,0.756582176,0.647,0.363,1.35E-284,TRAM,ACER3
GGA2,9.94E-287,0.75862486,0.672,0.395,2.58E-282,TRAM,GGA2
TMEM261,3.78E-285,0.830405775,0.661,0.386,9.81E-281,TRAM,TMEM261
SEC11A,5.53E-283,0.497777928,0.923,0.782,1.44E-278,TRAM,SEC11A
ETV5,6.42E-283,-3.708722344,0.016,0.149,1.67E-278,TRAM,ETV5
BLOC1S2,2.19E-282,0.643302872,0.789,0.531,5.69E-278,TRAM,BLOC1S2
SLC44A2,1.31E-281,1.774868475,0.261,0.068,3.40E-277,TRAM,SLC44A2
ACOT4,1.96E-281,1.52766028,0.317,0.106,5.08E-277,TRAM,ACOT4
FDX1,1.48E-280,0.808432406,0.745,0.482,3.85E-276,TRAM,FDX1
RASGRP2,4.83E-280,0.952946818,0.442,0.187,1.25E-275,TRAM,RASGRP2
TMEM14A,6.19E-280,1.105551085,0.334,0.112,1.61E-275,TRAM,TMEM14A
MT-CO2,1.60E-279,0.316084156,0.975,0.99,4.16E-275,TRAM,MT-CO2
MTSS1,6.62E-279,-4.559118678,0.009,0.131,1.72E-274,TRAM,MTSS1
CSF1,3.24E-278,1.942730569,0.271,0.077,8.41E-274,TRAM,CSF1
HPGDS,2.89E-277,0.782836754,0.413,0.166,7.51E-273,TRAM,HPGDS
TEX14,1.15E-276,2.185044775,0.223,0.047,2.98E-272,TRAM,TEX14
NCF2,5.07E-276,0.525337684,0.896,0.684,1.31E-271,TRAM,NCF2
MRC1,6.00E-276,0.464551271,0.904,0.691,1.56E-271,TRAM,MRC1
IRS2,6.37E-276,0.726291981,0.558,0.284,1.65E-271,TRAM,IRS2
FLNA,9.62E-276,0.524797195,0.85,0.597,2.49E-271,TRAM,FLNA
RASAL2,1.51E-275,0.983652472,0.429,0.182,3.92E-271,TRAM,RASAL2
FAM3B,2.47E-274,2.468921039,0.198,0.034,6.41E-270,TRAM,FAM3B
ICAM2,4.12E-274,0.979490375,0.424,0.179,1.07E-269,TRAM,ICAM2
PTPN6,1.08E-273,0.653081076,0.772,0.526,2.79E-269,TRAM,PTPN6
IL2RA,7.60E-273,-4.856279267,0.007,0.124,1.97E-268,TRAM,IL2RA
OSBPL11,1.80E-272,0.934626249,0.495,0.238,4.67E-268,TRAM,OSBPL11
MMP9,7.21E-272,-0.664847389,0.007,0.124,1.87E-267,TRAM,MMP9
PFKFB3,8.05E-271,-2.905020219,0.072,0.238,2.09E-266,TRAM,PFKFB3
TAGLN,9.36E-270,1.133825182,0.357,0.134,2.43E-265,TRAM,TAGLN
CYB5R3,1.20E-269,0.708840051,0.684,0.411,3.12E-265,TRAM,CYB5R3
NLRP3,9.61E-267,-3.305263039,0.03,0.17,2.49E-262,TRAM,NLRP3
ARRDC4,1.47E-266,1.043786854,0.411,0.174,3.81E-262,TRAM,ARRDC4
RSPO3,2.32E-266,3.605372136,0.154,0.014,6.01E-262,TRAM,RSPO3
PGD,1.54E-265,0.650439054,0.771,0.507,3.99E-261,TRAM,PGD
