Cell-cell communication signalings in tumor conditions,,,,,,,,,,,
,source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
25,Epithelial cells,Fibroblasts,GDF15,TGFBR2,0.004659946,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
26,Epithelial cells,Profi_TAM,GDF15,TGFBR2,0.005404022,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
27,Epithelial cells,Proli_TRM,GDF15,TGFBR2,0.002707588,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
28,Epithelial cells,TAM,GDF15,TGFBR2,0.00370324,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
29,Epithelial cells,TRAM,GDF15,TGFBR2,0.003699071,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
30,Epithelial cells,Unknown,GDF15,TGFBR2,0.004810069,0,GDF15_TGFBR2,GDF15 - TGFBR2,GDF,Secreted Signaling,KEGG: hsa04350
31,DC,Epithelial cells,AREG,EGFR,0.001161641,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
32,Epithelial cells,Epithelial cells,AREG,EGFR,0.002232008,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
33,MAST cells,Epithelial cells,AREG,EGFR,0.001411227,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
34,Monocytes,Epithelial cells,AREG,EGFR,0.001891782,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
35,Proli_TRM,Epithelial cells,AREG,EGFR,0.000425909,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
36,TAM,Epithelial cells,AREG,EGFR,0.000550645,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
37,Unknown,Epithelial cells,AREG,EGFR,0.000562866,0,AREG_EGFR,AREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
38,DC,Epithelial cells,AREG,EGFR_ERBB2,0.001369603,0,AREG_EGFR_ERBB2,AREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
39,Epithelial cells,Epithelial cells,AREG,EGFR_ERBB2,0.002631088,0,AREG_EGFR_ERBB2,AREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
40,MAST cells,Epithelial cells,AREG,EGFR_ERBB2,0.001663797,0,AREG_EGFR_ERBB2,AREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
41,Monocytes,Epithelial cells,AREG,EGFR_ERBB2,0.002230165,0,AREG_EGFR_ERBB2,AREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
42,Proli_TRM,Epithelial cells,AREG,EGFR_ERBB2,0.000502223,0,AREG_EGFR_ERBB2,AREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
43,TAM,Epithelial cells,AREG,EGFR_ERBB2,0.000649295,0,AREG_EGFR_ERBB2,AREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
44,Unknown,Epithelial cells,AREG,EGFR_ERBB2,0.000663705,0,AREG_EGFR_ERBB2,AREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
45,DC,Epithelial cells,HBEGF,EGFR,0.000842019,0,HBEGF_EGFR,HBEGF - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
46,Endothelial cells,Epithelial cells,HBEGF,EGFR,0.000614285,0,HBEGF_EGFR,HBEGF - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
47,Monocytes,Epithelial cells,HBEGF,EGFR,0.001363687,0,HBEGF_EGFR,HBEGF - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
48,Profi_TAM,Epithelial cells,HBEGF,EGFR,0.000644886,0,HBEGF_EGFR,HBEGF - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
49,Proli_TRM,Epithelial cells,HBEGF,EGFR,0.001080342,0,HBEGF_EGFR,HBEGF - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
50,TAM,Epithelial cells,HBEGF,EGFR,0.002417087,0,HBEGF_EGFR,HBEGF - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
51,TRAM,Epithelial cells,HBEGF,EGFR,0.002171365,0,HBEGF_EGFR,HBEGF - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
52,Unknown,Epithelial cells,HBEGF,EGFR,0.000885614,0,HBEGF_EGFR,HBEGF - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
53,DC,Epithelial cells,HBEGF,EGFR_ERBB2,0.000992818,0,HBEGF_EGFR_ERBB2,HBEGF - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
54,Endothelial cells,Epithelial cells,HBEGF,EGFR_ERBB2,0.000724328,0,HBEGF_EGFR_ERBB2,HBEGF - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
55,Monocytes,Epithelial cells,HBEGF,EGFR_ERBB2,0.001607762,0,HBEGF_EGFR_ERBB2,HBEGF - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
56,Profi_TAM,Epithelial cells,HBEGF,EGFR_ERBB2,0.000760407,0,HBEGF_EGFR_ERBB2,HBEGF - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
57,Proli_TRM,Epithelial cells,HBEGF,EGFR_ERBB2,0.001273768,0,HBEGF_EGFR_ERBB2,HBEGF - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
58,TAM,Epithelial cells,HBEGF,EGFR_ERBB2,0.002849163,0,HBEGF_EGFR_ERBB2,HBEGF - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
59,TRAM,Epithelial cells,HBEGF,EGFR_ERBB2,0.00255963,0,HBEGF_EGFR_ERBB2,HBEGF - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
60,Unknown,Epithelial cells,HBEGF,EGFR_ERBB2,0.001044213,0,HBEGF_EGFR_ERBB2,HBEGF - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
61,Epithelial cells,Epithelial cells,EREG,EGFR,0.000483963,0,EREG_EGFR,EREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
62,Monocytes,Epithelial cells,EREG,EGFR,0.005499923,0,EREG_EGFR,EREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
63,Proli_TRM,Epithelial cells,EREG,EGFR,0.000322593,0,EREG_EGFR,EREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
64,TAM,Epithelial cells,EREG,EGFR,0.001284129,0,EREG_EGFR,EREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
65,Unknown,Epithelial cells,EREG,EGFR,0.000442542,0,EREG_EGFR,EREG - EGFR,EGF,Secreted Signaling,KEGG: hsa04012
66,Epithelial cells,Epithelial cells,EREG,EGFR_ERBB2,0.000570674,0,EREG_EGFR_ERBB2,EREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
67,Monocytes,Epithelial cells,EREG,EGFR_ERBB2,0.006479506,0,EREG_EGFR_ERBB2,EREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
68,Proli_TRM,Epithelial cells,EREG,EGFR_ERBB2,0.000380402,0,EREG_EGFR_ERBB2,EREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
69,TAM,Epithelial cells,EREG,EGFR_ERBB2,0.001513986,0,EREG_EGFR_ERBB2,EREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
70,Unknown,Epithelial cells,EREG,EGFR_ERBB2,0.000521835,0,EREG_EGFR_ERBB2,EREG - (EGFR+ERBB2),EGF,Secreted Signaling,KEGG: hsa04012
71,Fibroblasts,Fibroblasts,FGF7,FGFR1,0.005295212,0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358
72,Profi_TAM,Fibroblasts,PDGFC,PDGFRA,0.000427228,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812
73,DC,Endothelial cells,VEGFA,FLT1,0.001784415,0,VEGFA_VEGFR1,VEGFA - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
74,Epithelial cells,Endothelial cells,VEGFA,FLT1,0.001963647,0,VEGFA_VEGFR1,VEGFA - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
75,Monocytes,Endothelial cells,VEGFA,FLT1,0.002821749,0,VEGFA_VEGFR1,VEGFA - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
76,TAM,Endothelial cells,VEGFA,FLT1,0.001525159,0,VEGFA_VEGFR1,VEGFA - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
77,Unknown,Endothelial cells,VEGFA,FLT1,0.00121377,0,VEGFA_VEGFR1,VEGFA - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
78,DC,Endothelial cells,VEGFA,KDR,0.001109275,0,VEGFA_VEGFR2,VEGFA - VEGFR2,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
79,Epithelial cells,Endothelial cells,VEGFA,KDR,0.001220776,0,VEGFA_VEGFR2,VEGFA - VEGFR2,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
80,Monocytes,Endothelial cells,VEGFA,KDR,0.001754819,0,VEGFA_VEGFR2,VEGFA - VEGFR2,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
81,TAM,Endothelial cells,VEGFA,KDR,0.000948016,0,VEGFA_VEGFR2,VEGFA - VEGFR2,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
82,Unknown,Endothelial cells,VEGFA,KDR,0.000754372,0,VEGFA_VEGFR2,VEGFA - VEGFR2,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
83,Epithelial cells,Endothelial cells,VEGFB,FLT1,0.000708503,0,VEGFB_VEGFR1,VEGFB - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
84,Fibroblasts,Endothelial cells,VEGFB,FLT1,0.001195522,0,VEGFB_VEGFR1,VEGFB - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
85,Profi_TAM,Endothelial cells,VEGFB,FLT1,0.001461914,0,VEGFB_VEGFR1,VEGFB - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
86,Proli_TRM,Endothelial cells,VEGFB,FLT1,0.001084559,0,VEGFB_VEGFR1,VEGFB - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
87,TRAM,Endothelial cells,VEGFB,FLT1,0.001012331,0,VEGFB_VEGFR1,VEGFB - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
88,Unknown,Endothelial cells,VEGFB,FLT1,0.000286872,0,VEGFB_VEGFR1,VEGFB - VEGFR1,VEGF,Secreted Signaling,KEGG: hsa04370; PMID: 16633338
89,DC,Endothelial cells,VEGFA,FLT1_KDR,0.001428065,0,VEGFA_VEGFR1R2,VEGFA - VEGFR1R2,VEGF,Secreted Signaling,PMID: 16633338
90,Epithelial cells,Endothelial cells,VEGFA,FLT1_KDR,0.001571561,0,VEGFA_VEGFR1R2,VEGFA - VEGFR1R2,VEGF,Secreted Signaling,PMID: 16633338
91,Monocytes,Endothelial cells,VEGFA,FLT1_KDR,0.002258711,0,VEGFA_VEGFR1R2,VEGFA - VEGFR1R2,VEGF,Secreted Signaling,PMID: 16633338
92,TAM,Endothelial cells,VEGFA,FLT1_KDR,0.001220519,0,VEGFA_VEGFR1R2,VEGFA - VEGFR1R2,VEGF,Secreted Signaling,PMID: 16633338
93,Unknown,Endothelial cells,VEGFA,FLT1_KDR,0.000971268,0,VEGFA_VEGFR1R2,VEGFA - VEGFR1R2,VEGF,Secreted Signaling,PMID: 16633338
94,NK cells,Profi_TAM,CCL5,CCR1,0.02436934,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
95,T cells,Profi_TAM,CCL5,CCR1,0.013436862,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
96,Unknown,Profi_TAM,CCL5,CCR1,0.00904577,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
97,NK cells,Proli_TRM,CCL5,CCR1,0.012852555,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
98,T cells,Proli_TRM,CCL5,CCR1,0.007049361,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
99,Unknown,Proli_TRM,CCL5,CCR1,0.004735649,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
100,NK cells,TAM,CCL5,CCR1,0.023229446,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
101,T cells,TAM,CCL5,CCR1,0.012801633,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
102,Unknown,TAM,CCL5,CCR1,0.008616317,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
103,NK cells,TRAM,CCL5,CCR1,0.012413918,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
104,T cells,TRAM,CCL5,CCR1,0.006807412,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
105,Unknown,TRAM,CCL5,CCR1,0.004572746,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
106,NK cells,Unknown,CCL5,CCR1,0.017467955,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
107,T cells,Unknown,CCL5,CCR1,0.009601081,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
108,Unknown,Unknown,CCL5,CCR1,0.006455299,0,CCL5_CCR1,CCL5 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
109,DC,Profi_TAM,CCL3,CCR1,0.001738524,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
110,Monocytes,Profi_TAM,CCL3,CCR1,0.01271317,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
111,NK cells,Profi_TAM,CCL3,CCR1,0.003694782,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
112,Profi_TAM,Profi_TAM,CCL3,CCR1,0.014942996,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
113,Proli_TRM,Profi_TAM,CCL3,CCR1,0.009623907,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
114,TAM,Profi_TAM,CCL3,CCR1,0.01701652,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
115,TRAM,Profi_TAM,CCL3,CCR1,0.001410329,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
116,Unknown,Profi_TAM,CCL3,CCR1,0.014097401,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
117,DC,Proli_TRM,CCL3,CCR1,0.000906967,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
118,Monocytes,Proli_TRM,CCL3,CCR1,0.006667367,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
119,NK cells,Proli_TRM,CCL3,CCR1,0.001929332,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
120,Profi_TAM,Proli_TRM,CCL3,CCR1,0.007845215,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
121,Proli_TRM,Proli_TRM,CCL3,CCR1,0.005039717,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
122,TAM,Proli_TRM,CCL3,CCR1,0.008942776,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
123,TRAM,Proli_TRM,CCL3,CCR1,0.000735636,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
124,Unknown,Proli_TRM,CCL3,CCR1,0.007398253,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
125,DC,TAM,CCL3,CCR1,0.001655407,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
126,Monocytes,TAM,CCL3,CCR1,0.012111734,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
127,NK cells,TAM,CCL3,CCR1,0.003518469,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
128,Profi_TAM,TAM,CCL3,CCR1,0.014237592,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
129,Proli_TRM,TAM,CCL3,CCR1,0.009167261,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
130,TAM,TAM,CCL3,CCR1,0.016214844,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
131,TRAM,TAM,CCL3,CCR1,0.001342881,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
132,Unknown,TAM,CCL3,CCR1,0.013431371,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
133,DC,TRAM,CCL3,CCR1,0.000875652,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
134,Monocytes,TRAM,CCL3,CCR1,0.006438443,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
135,NK cells,TRAM,CCL3,CCR1,0.001862783,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
136,Profi_TAM,TRAM,CCL3,CCR1,0.007576159,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
137,Proli_TRM,TRAM,CCL3,CCR1,0.004866405,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
138,TAM,TRAM,CCL3,CCR1,0.008636406,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
139,TRAM,TRAM,CCL3,CCR1,0.000710232,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
140,Unknown,TRAM,CCL3,CCR1,0.007144416,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
141,DC,Unknown,CCL3,CCR1,0.001238042,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
142,Monocytes,Unknown,CCL3,CCR1,0.009082078,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
143,NK cells,Unknown,CCL3,CCR1,0.002632623,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
144,Profi_TAM,Unknown,CCL3,CCR1,0.010681919,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
145,Proli_TRM,Unknown,CCL3,CCR1,0.00686902,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
146,TAM,Unknown,CCL3,CCR1,0.012171472,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
147,TRAM,Unknown,CCL3,CCR1,0.001004232,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
148,Unknown,Unknown,CCL3,CCR1,0.010074984,0,CCL3_CCR1,CCL3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
149,DC,Profi_TAM,CCL3L3,CCR1,0.002177603,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
150,Monocytes,Profi_TAM,CCL3L3,CCR1,0.011381453,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
151,NK cells,Profi_TAM,CCL3L3,CCR1,0.002114714,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
152,Profi_TAM,Profi_TAM,CCL3L3,CCR1,0.007264458,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
153,Proli_TRM,Profi_TAM,CCL3L3,CCR1,0.006826814,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
154,TAM,Profi_TAM,CCL3L3,CCR1,0.011536665,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
155,TRAM,Profi_TAM,CCL3L3,CCR1,0.000642776,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
156,Unknown,Profi_TAM,CCL3L3,CCR1,0.008085346,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
157,DC,Proli_TRM,CCL3L3,CCR1,0.001136268,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
158,Monocytes,Proli_TRM,CCL3L3,CCR1,0.005965127,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
159,NK cells,Proli_TRM,CCL3L3,CCR1,0.00110342,0,CCL3L3_CCR1,CCL3L3 - CCR1,CCL,Secreted Signaling,KEGG: hsa04060
