,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NIFK,4.45E-66,0.398346625,0.601,0.277,1.15E-61
NDUFA8,2.40E-66,0.397306781,0.773,0.391,6.22E-62
C1orf123,6.25E-65,0.397091473,0.654,0.312,1.62E-60
FGD5,7.07E-53,0.396975529,0.419,0.183,1.83E-48
MRPS18C,1.03E-66,0.396881272,0.821,0.443,2.66E-62
SEC11C,8.44E-61,0.3967871,0.916,0.546,2.19E-56
CYBA,2.38E-117,0.396649136,1,0.983,6.17E-113
SULT1A1,1.39E-50,0.396035349,0.541,0.267,3.61E-46
OTUB1,2.02E-65,0.395680285,0.752,0.379,5.23E-61
ABHD14A,4.05E-55,0.395409338,0.493,0.226,1.05E-50
SFTPC,1.54E-75,0.394520038,0.985,0.714,4.00E-71
SLU7,8.53E-61,0.393845545,0.715,0.362,2.21E-56
VDAC3,1.32E-67,0.393736626,0.788,0.404,3.43E-63
KRR1,5.02E-68,0.393410093,0.473,0.197,1.30E-63
C19orf52,1.41E-38,0.393340822,0.264,0.112,3.67E-34
CCT8,1.29E-59,0.393288485,0.897,0.534,3.36E-55
PWP1,2.87E-61,0.393164361,0.531,0.241,7.46E-57
XRCC6,1.93E-62,0.392695398,0.88,0.509,5.00E-58
HLA-A,3.01E-58,0.391757895,1,0.981,7.80E-54
MRPS35,3.31E-63,0.391733617,0.666,0.321,8.59E-59
ACTN1,1.80E-53,0.39064577,0.929,0.591,4.66E-49
NDUFB6,8.35E-57,0.39044181,0.868,0.525,2.16E-52
NDUFB3,3.40E-56,0.390240057,0.965,0.672,8.81E-52
FN1,9.79E-57,0.390200847,0.984,0.759,2.54E-52
NOP10,1.94E-76,0.389810071,0.999,0.907,5.02E-72
RCE1,2.73E-36,0.388659687,0.253,0.108,7.07E-32
PARP9,7.40E-63,0.388649348,0.652,0.318,1.92E-58
THEMIS2,3.40E-55,0.388576693,0.941,0.602,8.81E-51
OCEL1,6.56E-56,0.388348676,0.42,0.181,1.70E-51
CDC42BPB,1.06E-54,0.388222415,0.491,0.225,2.74E-50
DNAJC30,2.46E-39,0.387902544,0.27,0.115,6.39E-35
DHDDS,1.72E-46,0.387223893,0.278,0.111,4.47E-42
TCTN1,4.37E-38,0.387195001,0.254,0.106,1.13E-33
MS4A4A,3.38E-71,0.38636685,0.992,0.726,8.77E-67
EXOSC10,6.52E-45,0.386360841,0.277,0.112,1.69E-40
RTCB,4.73E-67,0.385722039,0.674,0.324,1.23E-62
TP53I3,1.51E-53,0.384712855,0.54,0.261,3.92E-49
ETFA,4.47E-55,0.384568191,0.775,0.43,1.16E-50
RRS1,1.18E-44,0.383858953,0.296,0.123,3.07E-40
TMEM242,4.80E-61,0.383850044,0.419,0.173,1.25E-56
MRPS30,1.21E-50,0.383528817,0.406,0.181,3.15E-46
TSPAN3,3.36E-54,0.383457617,0.744,0.399,8.71E-50
FCER1G,1.01E-95,0.383313,0.999,0.984,2.61E-91
NEMF,1.76E-57,0.383060387,0.723,0.378,4.56E-53
ATP5C1,4.28E-60,0.382955071,0.986,0.736,1.11E-55
B3GALT4,6.71E-55,0.382909196,0.433,0.188,1.74E-50
ORMDL2,1.04E-55,0.38186297,0.803,0.451,2.71E-51
FBXO6,2.62E-55,0.381552505,0.572,0.275,6.79E-51
VASP,6.82E-53,0.381418252,0.995,0.765,1.77E-48
RP3-460G2.2,7.71E-61,0.3809881,0.66,0.326,2.00E-56
HTATIP2,3.60E-56,0.380535513,0.896,0.52,9.34E-52
SLC35A1,1.16E-44,0.380381844,0.296,0.123,3.01E-40
GSKIP,5.06E-51,0.380209719,0.339,0.14,1.31E-46
SNAPIN,9.69E-63,0.380104686,0.759,0.389,2.51E-58
CLN5,4.30E-62,0.379604155,0.527,0.236,1.12E-57
CTD-2545M3.8,7.24E-40,0.379360951,0.294,0.128,1.88E-35
DYNC1LI1,4.67E-59,0.378625753,0.572,0.268,1.21E-54
RSPH3,1.90E-48,0.378422296,0.435,0.199,4.93E-44
PRAM1,2.13E-58,0.37839835,0.611,0.294,5.54E-54
PSMD4,8.44E-56,0.378382417,0.884,0.53,2.19E-51
DIAPH1,2.81E-54,0.378104249,0.711,0.373,7.29E-50
ANXA11,1.60E-50,0.377992961,0.988,0.739,4.16E-46
AIP,9.20E-59,0.37708764,0.774,0.41,2.39E-54
TSR2,1.16E-52,0.376968994,0.454,0.206,3.02E-48
APOBR,3.73E-62,0.376901911,0.694,0.34,9.68E-58
CDC40,1.97E-62,0.376834299,0.642,0.305,5.10E-58
MRPL4,8.35E-63,0.37668362,0.705,0.342,2.17E-58
SF3A3,5.59E-58,0.376305733,0.556,0.26,1.45E-53
SLC35E3,3.82E-52,0.376199119,0.455,0.207,9.92E-48
CD59,1.71E-64,0.376153706,0.976,0.711,4.43E-60
PLAA,5.02E-46,0.375840974,0.336,0.145,1.30E-41
HIBADH,9.14E-52,0.375455123,0.462,0.213,2.37E-47
TBCB,1.71E-55,0.375367298,0.917,0.561,4.43E-51
HSD17B4,6.39E-68,0.375191139,0.678,0.325,1.66E-63
TMED9,9.45E-52,0.374905725,0.958,0.651,2.45E-47
TIMM44,7.23E-47,0.374492083,0.308,0.128,1.88E-42
ALG2,1.23E-60,0.373757442,0.459,0.197,3.19E-56
HCST,4.77E-51,0.373726975,0.982,0.764,1.24E-46
IL2RG,1.21E-61,0.373654688,0.763,0.392,3.13E-57
MRPL24,6.00E-60,0.373594696,0.639,0.308,1.56E-55
TUBA1B,1.65E-65,0.373364369,0.999,0.933,4.28E-61
TXN,5.14E-73,0.37328153,1,0.925,1.33E-68
PGD,7.98E-51,0.372677778,0.958,0.636,2.07E-46
HSPA8,8.21E-58,0.372628045,0.997,0.891,2.13E-53
IFIT1,1.12E-90,0.372499832,0.498,0.195,2.91E-86
TECR,1.03E-54,0.372295811,0.848,0.495,2.66E-50
P4HTM,7.63E-40,0.372119152,0.257,0.107,1.98E-35
MLKL,8.90E-53,0.371139371,0.418,0.184,2.31E-48
GALE,2.41E-46,0.371130373,0.349,0.153,6.24E-42
VWA5A,2.82E-40,0.37064982,0.298,0.13,7.31E-36
RPP38,5.16E-47,0.370408978,0.354,0.154,1.34E-42
NUBP1,1.09E-60,0.370364997,0.563,0.261,2.83E-56
CCT2,3.28E-61,0.370207046,0.71,0.36,8.52E-57
UXS1,1.11E-51,0.369628835,0.486,0.227,2.87E-47
SRP54,6.47E-63,0.369625998,0.548,0.247,1.68E-58
ARL11,2.34E-57,0.369561653,0.503,0.228,6.08E-53
MBIP,2.07E-46,0.369437718,0.285,0.115,5.36E-42
ADGRE5,1.41E-48,0.369340946,0.924,0.604,3.65E-44
C7orf55,3.65E-49,0.369178429,0.43,0.196,9.47E-45
CXorf38,1.20E-53,0.369088849,0.421,0.184,3.11E-49
GBP2,6.08E-57,0.368608163,0.725,0.387,1.58E-52
SMC6,7.70E-46,0.368182124,0.391,0.178,2.00E-41
ZNF226,2.17E-43,0.368131707,0.392,0.182,5.63E-39
C1D,4.86E-61,0.367879309,0.814,0.436,1.26E-56
CFAP36,3.52E-65,0.367811132,0.537,0.234,9.12E-61
SIK2,1.68E-39,0.367797713,0.266,0.111,4.37E-35
TP53RK,3.18E-51,0.367243908,0.362,0.153,8.26E-47
CD40,2.23E-60,0.367223434,0.705,0.363,5.80E-56
TMED10,6.22E-52,0.367092994,0.991,0.766,1.61E-47
PFDN2,1.43E-53,0.366828847,0.96,0.656,3.71E-49
FARSA,1.97E-55,0.366665147,0.462,0.207,5.11E-51
ETFDH,2.25E-41,0.366430139,0.268,0.11,5.83E-37
DCAF5,4.33E-55,0.36601178,0.468,0.208,1.12E-50
TNIK,5.68E-41,0.365563369,0.305,0.134,1.47E-36
NUP93,5.89E-48,0.365460883,0.332,0.139,1.53E-43
PGM1,1.41E-54,0.36541877,0.518,0.24,3.67E-50
RBM42,1.82E-59,0.365308573,0.628,0.305,4.72E-55
MRPS23,6.30E-60,0.364793024,0.68,0.338,1.63E-55
STAC3,6.71E-55,0.364577531,0.576,0.281,1.74E-50
SRP72,1.79E-50,0.364400509,0.844,0.503,4.65E-46
HMGCL,4.11E-50,0.36437301,0.419,0.19,1.07E-45
GCHFR,2.62E-54,0.364348662,0.997,0.798,6.79E-50
HSP90AB1,8.49E-60,0.363887124,1,0.891,2.20E-55
PSMB8,9.91E-47,0.363620853,0.955,0.665,2.57E-42
MRPS15,4.52E-50,0.362992915,0.949,0.624,1.17E-45
SLC4A1AP,5.95E-44,0.362595681,0.351,0.157,1.54E-39
ATG4A,4.34E-37,0.361966901,0.261,0.112,1.13E-32
S100A10,3.49E-71,0.361838233,1,0.975,9.07E-67
CHMP2A,5.24E-53,0.361777346,0.982,0.716,1.36E-48
FUCA2,2.74E-54,0.36167716,0.787,0.424,7.12E-50
CTSS,1.91E-78,0.36153444,1,0.958,4.97E-74
CD2BP2,1.23E-58,0.361384825,0.718,0.361,3.19E-54
EBP,6.75E-54,0.361312207,0.601,0.296,1.75E-49
PCNA,8.21E-80,0.360750366,0.594,0.253,2.13E-75
DSTN,4.06E-52,0.360545717,0.971,0.69,1.05E-47
FCGR3A,8.51E-56,0.360377045,0.993,0.868,2.21E-51
NAPRT,5.15E-49,0.360248276,0.738,0.404,1.34E-44
PDIA3,8.43E-57,0.359596617,0.973,0.691,2.19E-52
PNPLA4,1.90E-48,0.359539593,0.316,0.13,4.94E-44
MARS,1.94E-39,0.359536172,0.278,0.12,5.04E-35
VIMP,5.82E-51,0.359494811,0.921,0.573,1.51E-46
NUPL2,3.08E-53,0.359272098,0.342,0.138,8.00E-49
WBSCR22,8.18E-65,0.359090591,0.695,0.335,2.12E-60
MRPS18A,1.63E-55,0.358835109,0.5,0.227,4.23E-51
RPN2,2.74E-48,0.358797352,0.945,0.623,7.10E-44
IGSF6,2.24E-44,0.358262841,0.946,0.691,5.82E-40
ZC2HC1A,4.18E-44,0.35824865,0.321,0.138,1.08E-39
GORASP2,2.65E-56,0.358192447,0.479,0.214,6.87E-52
MOSPD2,1.31E-56,0.35780201,0.553,0.257,3.41E-52
ACER3,5.32E-51,0.357794643,0.862,0.501,1.38E-46
FRA10AC1,5.01E-48,0.357577621,0.408,0.185,1.30E-43
MRPL16,3.48E-60,0.357314392,0.593,0.276,9.02E-56
MRPL19,2.12E-56,0.357266522,0.497,0.226,5.51E-52
CD47,2.01E-50,0.356728377,0.93,0.619,5.21E-46
SDHB,1.84E-51,0.356584618,0.87,0.533,4.78E-47
C18orf8,1.31E-44,0.356080234,0.266,0.105,3.41E-40
SOWAHD,1.03E-36,0.355822124,0.305,0.139,2.68E-32
CXCL16,1.20E-54,0.355632178,1,0.847,3.10E-50
TMEM128,1.89E-52,0.355275941,0.528,0.251,4.90E-48
KLHL18,4.10E-51,0.354272326,0.388,0.168,1.06E-46
ARL6IP5,2.72E-48,0.35421833,0.982,0.782,7.05E-44
ENOSF1,4.63E-54,0.354169448,0.478,0.217,1.20E-49
MSRB1,2.57E-49,0.354131296,0.656,0.345,6.67E-45
SCFD1,1.19E-62,0.353922277,0.534,0.239,3.09E-58
CDK5,4.59E-48,0.353737741,0.392,0.175,1.19E-43
AGPAT2,4.15E-43,0.353453314,0.943,0.634,1.08E-38
SAMD9L,8.92E-53,0.353371551,0.779,0.432,2.31E-48
TMEM199,1.61E-48,0.353332313,0.471,0.223,4.19E-44
ALKBH3,1.71E-43,0.353318279,0.352,0.158,4.42E-39
CUTC,1.36E-43,0.352932125,0.304,0.129,3.53E-39
PYGL,1.30E-59,0.352627484,0.543,0.248,3.36E-55
CBR4,1.89E-41,0.352295571,0.281,0.118,4.89E-37
POLD3,3.81E-38,0.351703395,0.28,0.122,9.88E-34
FADD,2.77E-35,0.351391442,0.254,0.111,7.18E-31
NDUFA7,3.11E-51,0.351148262,0.469,0.215,8.07E-47
TMEM63A,5.16E-48,0.351015137,0.461,0.214,1.34E-43
PHYH,1.51E-57,0.351013332,0.68,0.338,3.93E-53
RFC2,1.25E-51,0.350334304,0.449,0.203,3.25E-47
PSMD1,1.55E-54,0.350327414,0.652,0.33,4.01E-50
GAS2L3,1.47E-46,0.350111429,0.387,0.175,3.81E-42
IFIH1,1.72E-52,0.349171144,0.412,0.182,4.45E-48
MTPN,7.09E-43,0.348906915,0.982,0.723,1.84E-38
PDLIM2,3.03E-58,0.348727334,0.697,0.347,7.87E-54
XRCC5,1.01E-55,0.348725499,0.862,0.493,2.61E-51
RUVBL2,2.01E-54,0.348444138,0.43,0.186,5.22E-50
NUDT5,2.23E-56,0.348440741,0.616,0.3,5.77E-52
TXNDC12,4.66E-48,0.348440665,0.844,0.509,1.21E-43
F8A1,5.85E-46,0.348368297,0.434,0.203,1.52E-41
EEA1,1.10E-51,0.348268012,0.596,0.297,2.84E-47
GLOD4,2.88E-62,0.347649524,0.633,0.3,7.48E-58
UBE2L3,5.27E-53,0.347416347,0.978,0.708,1.37E-48
PSMA2,2.43E-54,0.34721715,0.909,0.564,6.31E-50
PRKCDBP,1.29E-40,0.347104627,0.326,0.149,3.34E-36
JKAMP,2.98E-54,0.346934751,0.604,0.296,7.73E-50
RAP1B,2.44E-48,0.346710689,0.879,0.548,6.32E-44
ANXA7,1.82E-54,0.346593017,0.843,0.493,4.71E-50
TMEM179B,1.28E-49,0.346448187,0.866,0.524,3.33E-45
IFT57,1.12E-55,0.346427124,0.466,0.208,2.92E-51
DCTN3,9.14E-56,0.346185647,0.893,0.519,2.37E-51
TRMT6,6.77E-44,0.346038631,0.405,0.187,1.76E-39
PHAX,1.92E-45,0.345460493,0.371,0.166,4.98E-41
ADPRHL2,5.41E-58,0.345368432,0.479,0.211,1.40E-53
ASNA1,1.68E-51,0.345286307,0.853,0.495,4.37E-47
GALNT6,3.33E-42,0.345187605,0.378,0.175,8.65E-38
ORC4,4.90E-47,0.344789311,0.339,0.145,1.27E-42
UTP23,1.46E-44,0.344701631,0.382,0.174,3.78E-40
ZNF438,2.46E-38,0.344000677,0.255,0.106,6.38E-34
DNAJB12,5.74E-50,0.343482019,0.604,0.305,1.49E-45
RP11-356N1.2,1.39E-48,0.343098911,0.42,0.191,3.60E-44
CPT2,1.10E-42,0.342938286,0.295,0.124,2.86E-38
FLNA,5.75E-49,0.342840571,0.989,0.723,1.49E-44
MYADM,1.23E-49,0.342541811,0.921,0.593,3.18E-45
NINJ2,9.18E-51,0.342325511,0.455,0.209,2.38E-46
CSE1L,2.60E-40,0.342239233,0.304,0.133,6.75E-36
GGA2,8.56E-46,0.341928947,0.863,0.53,2.22E-41
VCP,2.34E-52,0.341925738,0.744,0.406,6.07E-48
SDHC,7.26E-50,0.340984805,0.909,0.564,1.88E-45
KARS,3.64E-52,0.340841258,0.789,0.436,9.45E-48
RTN3,1.69E-49,0.340564991,0.957,0.654,4.39E-45
CD274,4.55E-38,0.339918693,0.287,0.127,1.18E-33
PPP2R1A,7.87E-50,0.339831944,0.766,0.418,2.04E-45
POP5,5.74E-53,0.339417984,0.545,0.263,1.49E-48
SNAPC5,8.66E-51,0.339231251,0.589,0.292,2.25E-46
MRPS14,1.22E-58,0.339092477,0.617,0.294,3.17E-54
PSMD14,1.19E-52,0.338998646,0.813,0.454,3.09E-48
ARMCX3,2.40E-58,0.338980936,0.605,0.289,6.22E-54
DOCK11,2.26E-59,0.338780059,0.62,0.293,5.86E-55
PSMD3,1.33E-52,0.338673408,0.686,0.354,3.45E-48
TATDN3,3.68E-43,0.338288117,0.31,0.133,9.55E-39
DHRS12,7.73E-38,0.337455225,0.27,0.117,2.01E-33
DHPS,5.85E-54,0.337385895,0.56,0.265,1.52E-49
AGRP,1.82E-64,0.337181655,0.678,0.336,4.71E-60
SMIM14,1.02E-50,0.337168395,0.874,0.509,2.64E-46
MGST2,9.97E-53,0.337138968,0.889,0.528,2.59E-48
CBWD1,6.87E-53,0.337134578,0.507,0.236,1.78E-48
TTF1,2.21E-43,0.335638068,0.353,0.158,5.72E-39
PARK7,9.86E-51,0.335413365,0.994,0.798,2.56E-46
TFRC,1.28E-54,0.335286493,0.955,0.627,3.31E-50
RAD50,2.00E-49,0.335091195,0.515,0.247,5.20E-45
PSMD13,1.24E-59,0.334550105,0.724,0.372,3.22E-55
OSBPL11,3.38E-54,0.33433456,0.7,0.362,8.77E-50
GHITM,2.29E-47,0.334085184,0.955,0.661,5.95E-43
ARPC3,9.67E-88,0.333829585,1,0.965,2.51E-83
WDR46,1.21E-52,0.333638993,0.39,0.167,3.15E-48
FBXO8,7.71E-48,0.332806368,0.376,0.165,2.00E-43
COPB2,4.14E-56,0.332794713,0.501,0.228,1.07E-51
ISOC2,3.89E-44,0.332638193,0.764,0.44,1.01E-39
FDX1L,8.58E-44,0.332517294,0.332,0.145,2.23E-39
FARS2,1.39E-38,0.332450033,0.251,0.104,3.60E-34
PPT1,1.94E-46,0.332443382,0.994,0.804,5.03E-42
ATAD1,1.84E-43,0.332297425,0.362,0.163,4.78E-39
MRPL48,4.81E-45,0.332145788,0.386,0.176,1.25E-40
RAB11FIP1,1.81E-44,0.331977085,0.868,0.534,4.69E-40
NOC4L,3.19E-40,0.331953579,0.292,0.126,8.28E-36
MLF1,4.78E-49,0.331521566,0.301,0.121,1.24E-44
UBR2,6.09E-44,0.331324064,0.313,0.133,1.58E-39
RNF113A,2.46E-45,0.331116036,0.356,0.156,6.39E-41
MFAP1,1.15E-45,0.330575924,0.35,0.154,2.99E-41
DNAJC17,1.79E-43,0.330465157,0.292,0.122,4.64E-39
PRMT1,2.15E-60,0.330277182,0.584,0.273,5.58E-56
PYCARD,2.94E-54,0.330132261,0.998,0.884,7.62E-50
TMED3,3.46E-46,0.329999438,0.831,0.475,8.97E-42
MED31,5.63E-51,0.32982741,0.472,0.219,1.46E-46
GSTM4,6.90E-39,0.329818886,0.286,0.124,1.79E-34
CLEC12A,1.95E-58,0.329703533,0.834,0.453,5.05E-54
CRTAM,8.54E-49,0.329346719,0.45,0.209,2.22E-44
RBM8A,4.31E-40,0.328978586,0.947,0.658,1.12E-35
AKR7A2,1.49E-56,0.328928562,0.72,0.364,3.85E-52
OGFR,8.97E-47,0.328857018,0.715,0.392,2.33E-42
TRAPPC4,8.41E-52,0.328538877,0.537,0.26,2.18E-47
TCEAL4,5.87E-50,0.328361101,0.85,0.502,1.52E-45
EEF1E1,1.32E-56,0.32817231,0.489,0.218,3.42E-52
CIAPIN1,4.74E-43,0.327994984,0.316,0.136,1.23E-38
IDNK,6.11E-44,0.327872669,0.334,0.146,1.59E-39
PKM,1.82E-58,0.327731499,0.999,0.88,4.71E-54
COMMD4,3.51E-53,0.327724838,0.714,0.374,9.10E-49
MPV17,6.79E-57,0.327598271,0.679,0.335,1.76E-52
UFL1,2.29E-55,0.327425124,0.433,0.189,5.95E-51
C2,8.74E-44,0.327334628,0.704,0.407,2.27E-39
CFL1,4.39E-77,0.327305402,1,0.982,1.14E-72
APEX2,2.44E-48,0.326650952,0.352,0.15,6.34E-44
IMMT,1.69E-53,0.326638832,0.611,0.302,4.39E-49
CPNE3,6.23E-54,0.326461472,0.572,0.274,1.62E-49
AIMP2,3.38E-46,0.326187125,0.365,0.161,8.76E-42
CLDN23,2.41E-42,0.326110712,0.34,0.151,6.25E-38
PRKCD,1.39E-47,0.326087031,0.483,0.23,3.60E-43
UBALD1,3.61E-45,0.325608992,0.379,0.17,9.37E-41
DDX56,2.00E-50,0.324793841,0.316,0.128,5.18E-46
SUMF1,2.02E-52,0.324729373,0.518,0.242,5.25E-48
ZBTB8OS,1.28E-50,0.324614495,0.871,0.512,3.32E-46
ADSL,2.96E-56,0.324307983,0.552,0.255,7.69E-52
EIF2S1,1.78E-59,0.324218732,0.627,0.299,4.63E-55
PFDN6,2.88E-56,0.323826162,0.705,0.364,7.46E-52
PSMC6,3.49E-58,0.323584363,0.71,0.361,9.04E-54
NSMCE2,4.27E-55,0.323003248,0.529,0.245,1.11E-50
TMEM91,9.12E-47,0.322753043,0.441,0.206,2.37E-42
SDHD,1.39E-49,0.322746857,0.887,0.536,3.60E-45
ISOC1,4.90E-38,0.322704337,0.286,0.125,1.27E-33
ADAMTSL4,2.70E-46,0.322429437,0.869,0.506,7.00E-42
TMBIM1,3.05E-40,0.322386828,0.902,0.584,7.91E-36
C1orf35,2.40E-59,0.322118134,0.538,0.242,6.23E-55
SAP18,6.03E-53,0.322045017,1,0.86,1.57E-48
PECAM1,7.56E-45,0.321990243,0.96,0.638,1.96E-40
SLC35A2,1.42E-39,0.321460332,0.268,0.113,3.70E-35
CSF1,2.47E-41,0.321416549,0.368,0.174,6.42E-37
SLC22A18,4.52E-44,0.321369444,0.376,0.171,1.17E-39
ZC3H14,5.79E-40,0.321294245,0.306,0.135,1.50E-35
MYDGF,2.03E-40,0.321187345,0.974,0.73,5.27E-36
TM7SF3,2.22E-49,0.321179277,0.537,0.259,5.77E-45
FAM222B,4.16E-37,0.320297895,0.262,0.112,1.08E-32
LEPROT,5.66E-45,0.320284466,0.931,0.618,1.47E-40
PPM1G,6.18E-49,0.319620133,0.77,0.423,1.60E-44
INPP5K,2.80E-40,0.319513121,0.295,0.128,7.27E-36
TMEM5,5.16E-36,0.319452513,0.317,0.147,1.34E-31
OPN3,1.68E-55,0.319129175,0.7,0.355,4.37E-51
HN1,1.23E-42,0.318657457,0.982,0.753,3.20E-38
SLC31A1,1.73E-44,0.318603283,0.818,0.467,4.49E-40
ZC3H13,5.85E-44,0.318479027,0.714,0.391,1.52E-39
TRIO,9.66E-48,0.318308498,0.51,0.248,2.51E-43
MTX1,3.01E-54,0.317989566,0.696,0.353,7.81E-50
HSD17B8,3.24E-42,0.317986982,0.271,0.111,8.40E-38
TUBB4B,3.51E-54,0.317965765,0.88,0.539,9.09E-50
DHX29,1.16E-52,0.317915353,0.658,0.336,3.00E-48
MAN2B2,8.14E-42,0.317749262,0.473,0.233,2.11E-37
PSMB2,4.31E-46,0.317599067,0.917,0.594,1.12E-41
SKP1,3.51E-52,0.317448473,0.995,0.84,9.12E-48
ATP6V0D1,1.88E-41,0.317437124,0.991,0.798,4.89E-37
GRHPR,4.34E-49,0.317188155,0.8,0.442,1.12E-44
ZMPSTE24,2.15E-50,0.316836237,0.617,0.309,5.57E-46
DENND4C,1.55E-48,0.31667487,0.569,0.282,4.02E-44
CCDC91,2.61E-55,0.316672803,0.617,0.297,6.78E-51
MCM5,1.78E-38,0.316546973,0.375,0.179,4.61E-34
MUC12,1.75E-41,0.316390125,0.367,0.17,4.55E-37
EPHX1,9.00E-75,0.316271438,0.655,0.299,2.33E-70
SF3B4,3.94E-53,0.31564784,0.536,0.251,1.02E-48
NSMCE4A,4.35E-54,0.315337822,0.409,0.175,1.13E-49
BTK,1.61E-51,0.315298956,0.743,0.399,4.19E-47
PSMG2,2.05E-47,0.315134306,0.921,0.586,5.32E-43
MCOLN1,3.60E-46,0.315058601,0.87,0.517,9.34E-42
ELP6,1.95E-37,0.31485964,0.303,0.136,5.06E-33
GBP3,3.45E-54,0.314320157,0.542,0.255,8.95E-50
CINP,4.05E-54,0.314304853,0.525,0.245,1.05E-49
PIGT,4.07E-51,0.314010817,0.779,0.423,1.06E-46
CYB5A,1.30E-42,0.31385005,0.944,0.625,3.38E-38
ESYT1,3.37E-48,0.313790727,0.659,0.339,8.73E-44
GEMIN6,1.88E-41,0.31329673,0.362,0.165,4.87E-37
GPN3,4.25E-59,0.313056903,0.515,0.231,1.10E-54
MRPS18B,3.59E-50,0.313040222,0.749,0.401,9.31E-46
PNP,1.76E-58,0.312803734,0.718,0.365,4.56E-54
PTRH1,9.87E-54,0.312434754,0.533,0.247,2.56E-49
RIOK1,3.14E-39,0.312095174,0.319,0.144,8.15E-35
LMBRD1,7.84E-53,0.311870884,0.692,0.36,2.03E-48
AARS,1.45E-39,0.311809738,0.27,0.115,3.77E-35
TGOLN2,3.28E-39,0.311809179,0.975,0.696,8.50E-35
DPCD,1.41E-37,0.311770915,0.261,0.112,3.67E-33
ADRM1,1.23E-43,0.311352765,0.889,0.557,3.20E-39
ZFYVE21,2.06E-49,0.311348774,0.492,0.232,5.35E-45
AKR1A1,6.19E-41,0.311303769,0.963,0.73,1.60E-36
TIMMDC1,4.47E-52,0.311294178,0.658,0.334,1.16E-47
CARS,3.33E-39,0.311262653,0.295,0.129,8.64E-35
XPA,2.89E-53,0.310561628,0.446,0.199,7.50E-49
PSMG1,7.09E-54,0.310496373,0.466,0.21,1.84E-49
C1orf174,2.81E-51,0.309365859,0.377,0.161,7.30E-47
RARS,5.64E-51,0.308934233,0.503,0.238,1.46E-46
OSER1,1.35E-42,0.3089228,0.644,0.346,3.51E-38
IQSEC2,3.66E-44,0.308646431,0.424,0.199,9.51E-40
MED19,2.00E-45,0.30820254,0.39,0.177,5.18E-41
CIB1,1.47E-43,0.307920473,0.987,0.797,3.82E-39
MRPS7,4.96E-51,0.307882452,0.795,0.437,1.29E-46
SPAG7,4.49E-50,0.30780726,0.793,0.435,1.16E-45
GCNT1,1.03E-38,0.30754793,0.312,0.14,2.67E-34
SDF2,2.55E-52,0.30729857,0.646,0.325,6.62E-48
TRAPPC12,7.68E-38,0.307177263,0.3,0.133,1.99E-33
TWF2,8.40E-44,0.306957568,0.92,0.595,2.18E-39
SRP68,5.66E-43,0.306867223,0.33,0.144,1.47E-38
CD53,6.90E-41,0.306746046,0.995,0.801,1.79E-36
COPG1,1.27E-48,0.306439703,0.418,0.188,3.30E-44
CCDC115,5.12E-46,0.306247806,0.746,0.41,1.33E-41
NCF2,2.16E-41,0.305943615,0.995,0.79,5.60E-37
SARS,2.03E-55,0.305061275,0.703,0.353,5.28E-51
FAF2,2.09E-34,0.305018034,0.266,0.118,5.42E-30
CCNH,3.91E-66,0.304924797,0.625,0.291,1.01E-61
NDUFS4,9.43E-44,0.304792876,0.866,0.532,2.45E-39
OCIAD1,8.88E-45,0.30450723,0.941,0.62,2.30E-40
BET1,3.05E-47,0.304485743,0.464,0.219,7.90E-43
QTRT1,2.17E-48,0.304280624,0.326,0.135,5.63E-44
HP,8.11E-34,0.304144894,0.28,0.132,2.10E-29
NDUFAF4,7.77E-49,0.303801743,0.445,0.203,2.02E-44
CPVL,3.59E-59,0.303531319,0.856,0.496,9.32E-55
AAMP,2.00E-53,0.303395745,0.57,0.273,5.19E-49
MRPL35,1.02E-47,0.303013615,0.473,0.222,2.64E-43
TCP1,2.88E-46,0.302937584,0.797,0.459,7.48E-42
DDX60L,2.31E-52,0.302883312,0.54,0.26,6.00E-48
AGPS,1.43E-51,0.302690212,0.668,0.336,3.72E-47
FN3KRP,3.89E-40,0.302191622,0.268,0.112,1.01E-35
GNGT2,6.03E-40,0.302066074,0.397,0.191,1.56E-35
ACYP2,9.25E-49,0.302049967,0.617,0.314,2.40E-44
NCSTN,2.74E-55,0.302011594,0.661,0.325,7.10E-51
DTNBP1,2.98E-53,0.301945265,0.547,0.254,7.74E-49
SREK1IP1,1.34E-50,0.301876281,0.714,0.382,3.47E-46
ALG5,3.04E-56,0.301645099,0.698,0.349,7.88E-52
CHMP5,4.83E-45,0.301459345,0.942,0.631,1.25E-40
CD68,1.19E-57,0.30134022,1,0.961,3.08E-53
RGCC,2.38E-49,0.301317754,1,0.835,6.18E-45
ATP6V0B,7.05E-44,0.301248799,1,0.9,1.83E-39
ERP29,1.13E-39,0.301126444,0.989,0.767,2.93E-35
FNTA,1.99E-53,0.300464776,0.683,0.346,5.17E-49
RAB4B,7.82E-49,0.300404664,0.561,0.278,2.03E-44
NARS,6.96E-45,0.300323332,0.804,0.461,1.81E-40
SSBP1,7.38E-47,0.300175066,0.957,0.655,1.92E-42
SERGEF,1.38E-38,0.300001525,0.292,0.127,3.57E-34
ARL2,6.78E-43,0.299730341,0.859,0.524,1.76E-38
C15orf57,1.06E-47,0.299730033,0.436,0.201,2.75E-43
